time,gesture,ax,ay,az,qw,qx,qy,qz,e0,e1,e2,e3,e4,e5,e6,e7
39.48308491706848,false,-0.3852539,0.27001953,0.9169922,0.7221873,0.23639548,0.27001953,0.9169922,-3,-1,-3,2,1,0,2,2
39.48466992378235,false,-0.3642578,0.30371094,0.91503906,0.72182024,0.2368835,0.30371094,0.91503906,1,2,2,2,-2,-2,2,-1
39.48529398441315,false,-0.34326172,0.33642578,0.9013672,0.7217587,0.2373106,0.33642578,0.9013672,-5,-5,-2,1,-1,-1,1,0
39.4869669675827,false,-0.3544922,0.31884766,0.9238281,0.72175765,0.23731026,0.31884766,0.9238281,1,4,-1,-1,0,2,-5,-2
39.48832190036774,false,-0.34765625,0.30419922,0.9086914,0.72186434,0.23700002,0.30419922,0.9086914,-9,0,-3,-2,0,-2,-5,-5
39.48957598209381,false,-0.35839844,0.28808594,0.9243164,0.72194695,0.23664089,0.28808594,0.9243164,3,-2,1,0,1,1,2,0
39.490415930747986,false,-0.36279297,0.30664062,0.9145508,0.7217488,0.23694113,0.30664062,0.9145508,0,0,-4,1,-1,1,-1,-3
39.491539001464844,false,-0.36279297,0.31396484,0.9135742,0.72161996,0.23718303,0.31396484,0.9135742,4,1,-1,-12,-4,-2,2,3
39.506929993629456,false,-0.37402344,0.29492188,0.93310547,0.7214336,0.23730403,0.29492188,0.93310547,-4,-1,4,7,5,0,1,0
39.53719198703766,false,-0.36523438,0.28710938,0.92285156,0.7208573,0.23804772,0.28710938,0.92285156,-5,-6,-3,4,2,0,2,-2
39.53882694244385,false,-0.359375,0.3149414,0.9194336,0.7202269,0.23913974,0.3149414,0.9194336,2,0,-2,-1,1,0,-3,2
39.56771194934845,false,-0.35888672,0.32763672,0.9404297,0.7193612,0.24078397,0.32763672,0.9404297,-1,-2,16,-7,-5,-2,-3,-2
39.59687399864197,false,-0.36328125,0.2915039,0.8989258,0.71833235,0.24261798,0.2915039,0.8989258,3,8,12,0,-2,1,0,1
39.59859597682953,false,-0.36816406,0.32080078,0.88134766,0.7174781,0.24457122,0.32080078,0.88134766,0,-7,-14,-5,-3,-7,-1,0
39.62712800502777,false,-0.35595703,0.359375,0.87890625,0.71715444,0.24578561,0.359375,0.87890625,-3,0,-7,1,0,-2,0,-4
39.65700900554657,false,-0.35986328,0.35546875,0.89746094,0.7172279,0.24621712,0.35546875,0.89746094,-3,-7,-4,-6,2,2,2,-3
39.65869700908661,false,-0.36328125,0.34765625,0.9296875,0.7173358,0.24627331,0.34765625,0.9296875,3,0,-5,-4,0,-5,-9,-2
39.71777296066284,false,-0.33935547,0.36816406,0.9199219,0.7173364,0.2462735,0.36816406,0.9199219,3,0,2,3,-4,-1,1,-6
39.71986699104309,false,-0.33984375,0.36279297,0.9238281,0.7175306,0.24548383,0.36279297,0.9238281,4,0,0,4,-4,-3,-3,5
39.74714398384094,false,-0.3540039,0.34179688,0.91064453,0.7176626,0.243412,0.34179688,0.91064453,-3,1,-4,-2,0,0,1,-5
39.77666795253754,false,-0.3647461,0.31933594,0.9160156,0.7179621,0.2418842,0.31933594,0.9160156,2,-2,-6,4,-2,6,-2,-6
39.77873396873474,false,-0.36376953,0.29589844,0.91845703,0.7182062,0.24011417,0.29589844,0.91845703,-5,-1,0,2,0,4,1,-3
39.80708992481232,false,-0.36572266,0.28759766,0.9121094,0.718405,0.23859347,0.28759766,0.9121094,2,-1,-4,-2,-2,-5,0,-3
39.83721697330475,false,-0.3696289,0.29638672,0.94140625,0.71858925,0.23712896,0.29638672,0.94140625,1,3,0,-2,-1,27,22,-7
39.83890700340271,false,-0.34960938,0.3256836,0.92041016,0.7186287,0.23620631,0.3256836,0.92041016,1,-1,3,0,1,-9,-1,4
39.86721098423004,false,-0.3544922,0.32226562,0.9291992,0.7187962,0.23473637,0.32226562,0.9291992,-1,-3,-5,-3,-2,-9,-10,2
39.896992921829224,false,-0.35791016,0.28710938,0.9160156,0.71900004,0.23272896,0.28710938,0.9160156,-9,-5,1,-4,1,-12,-11,-2
