time,gesture,ax,ay,az,qw,qx,qy,qz,e0,e1,e2,e3,e4,e5,e6,e7
6.303846001625061,false,-0.53125,0.33642578,0.6118164,0.24584785,0.14910781,0.33642578,0.6118164,3,2,-18,-24,34,-8,-3,1
6.306591033935547,false,0.034179688,0.3383789,0.8774414,0.32097942,0.16503677,0.3383789,0.8774414,1,3,0,3,1,-1,1,1
6.362815976142883,false,0.10498047,0.30126953,0.94677734,0.33245167,0.1737025,0.30126953,0.94677734,-1,1,3,2,1,-1,-3,-3
6.364779949188232,false,0.14550781,0.17822266,0.9638672,0.34355924,0.18352862,0.17822266,0.9638672,0,1,-1,-3,4,9,1,0
6.393409013748169,false,0.16015625,0.4477539,0.90771484,0.35942206,0.21355371,0.4477539,0.90771484,0,0,4,4,-4,5,-1,-4
6.395100951194763,false,0.026367188,0.45751953,0.984375,0.3693162,0.22997577,0.45751953,0.984375,2,5,4,4,15,16,24,-8
6.422803997993469,false,-0.17919922,0.3305664,1.1108398,0.3812106,0.24327657,0.3305664,1.1108398,-3,-4,-9,-10,-35,-19,-15,-1
6.482648968696594,false,-0.2998047,0.19042969,1.1606445,0.39201728,0.25334948,0.19042969,1.1606445,2,2,7,2,35,4,-17,4
6.484673023223877,false,-0.2524414,0.04638672,1.0698242,0.40142474,0.26366958,0.04638672,1.0698242,0,0,-6,9,9,2,-23,-2
6.512714982032776,false,-0.39257812,0.0043945312,0.8178711,0.41108173,0.29761463,0.0043945312,0.8178711,-6,-8,-3,-1,-5,5,4,-1
6.514863014221191,false,-0.55908203,0.30419922,0.7832031,0.41131097,0.32140726,0.30419922,0.7832031,-2,-3,1,0,0,0,23,23
6.543164014816284,false,-0.71533203,0.5708008,0.7368164,0.41326118,0.34209552,0.5708008,0.7368164,-3,-1,0,-3,-15,-4,-11,-4
6.602548003196716,false,-0.59375,0.62597656,0.91845703,0.42279148,0.35272297,0.62597656,0.91845703,1,2,-1,-1,2,9,3,-10
6.60479199886322,false,-1.0380859,1.1230469,1.7446289,0.43816265,0.34893104,1.1230469,1.7446289,9,0,0,0,-5,0,6,4
6.6326669454574585,false,-0.60253906,-0.7915039,1.4086914,0.46277434,0.3090859,-0.7915039,1.4086914,-5,-3,2,0,2,-7,-38,-14
