14.255769968032837, false, a -0.6220703, a 0.38427734, a 0.7475586, q 0.84163785, q 0.32111514, q 0.38427734, q 0.7475586, e 0, e -2, e -1, e 1, e -4, e 0, e 1, e -1
14.285776972770691, false, a -0.62402344, a 0.3876953, a 0.7441406, q 0.8416543, q 0.3210604, q 0.3876953, q 0.7441406, e -2, e 5, e 1, e -4, e -3, e 0, e -2, e -1
14.28705096244812, false, a -0.62353516, a 0.38720703, a 0.7470703, q 0.84164053, q 0.3209941, q 0.38720703, q 0.7470703, e 1, e -2, e 0, e -2, e 1, e -2, e -2, e 0
14.315754055976868, false, a -0.6171875, a 0.39111328, a 0.73535156, q 0.84164053, q 0.3209941, q 0.39111328, q 0.73535156, e -1, e 0, e -1, e -2, e -2, e 0, e -3, e -3
14.34567105770111, false, a -0.62402344, a 0.3930664, a 0.73828125, q 0.84164053, q 0.3209941, q 0.3930664, q 0.73828125, e 0, e -3, e -2, e -4, e -2, e 1, e 0, e 0
14.347225069999695, false, a -0.62109375, a 0.39111328, a 0.73291016, q 0.84164053, q 0.3209941, q 0.39111328, q 0.73291016, e -1, e -3, e -1, e -2, e -1, e 1, e -1, e -1
14.375668048858643, false, a -0.6196289, a 0.38671875, a 0.7368164, q 0.841657, q 0.32093933, q 0.38671875, q 0.7368164, e -1, e 2, e -1, e 3, e -5, e -1, e -1, e -2
14.405696988105774, false, a -0.6220703, a 0.3959961, a 0.73583984, q 0.841657, q 0.32093933, q 0.3959961, q 0.73583984, e 1, e -3, e -2, e -1, e -2, e -3, e 0, e -1
14.407168984413147, false, a -0.6220703, a 0.3930664, a 0.73828125, q 0.841657, q 0.32093933, q 0.3930664, q 0.73828125, e 0, e -3, e 0, e -5, e 1, e -2, e 1, e -1
14.435770988464355, false, a -0.6254883, a 0.39257812, a 0.7392578, q 0.84164625, q 0.32093525, q 0.39257812, q 0.7392578, e -2, e 0, e -1, e -2, e 1, e 0, e -1, e -1
14.465667009353638, false, a -0.62109375, a 0.38916016, a 0.73779297, q 0.8416267, q 0.3209278, q 0.38916016, q 0.73779297, e 3, e 0, e 0, e 1, e 1, e 0, e 1, e -1
14.468538045883179, false, a -0.6166992, a 0.39013672, a 0.73876953, q 0.8416433, q 0.32087305, q 0.39013672, q 0.73876953, e 1, e -1, e -1, e -6, e 1, e -2, e -3, e 1
14.49590003490448, false, a -0.6176758, a 0.390625, a 0.7451172, q 0.8416433, q 0.32087305, q 0.390625, q 0.7451172, e -4, e 6, e 0, e -3, e 2, e 1, e -2, e 0
14.525405049324036, false, a -0.6166992, a 0.39257812, a 0.74609375, q 0.8416597, q 0.3208183, q 0.39257812, q 0.74609375, e 0, e -3, e -1, e -3, e 1, e 0, e 1, e -2
14.527469992637634, false, a -0.61865234, a 0.38671875, a 0.74658203, q 0.8416775, q 0.32080182, q 0.38671875, q 0.74658203, e 1, e -12, e 1, e -2, e 1, e -1, e -1, e 0
14.555745005607605, false, a -0.62060547, a 0.3876953, a 0.7451172, q 0.841694, q 0.32074705, q 0.3876953, q 0.7451172, e 0, e 3, e -2, e 3, e -1, e -3, e -1, e 0
14.585437059402466, false, a -0.62109375, a 0.38183594, a 0.7392578, q 0.8416744, q 0.3207396, q 0.38183594, q 0.7392578, e -2, e 0, e -1, e -1, e -1, e 2, e 0, e -1
14.587380051612854, false, a -0.6245117, a 0.3857422, a 0.7426758, q 0.84169096, q 0.32068488, q 0.3857422, q 0.7426758, e 0, e -1, e -1, e 1, e 1, e 0, e -1, e 0
14.615993022918701, false, a -0.6201172, a 0.39111328, a 0.7426758, q 0.84169096, q 0.32068488, q 0.39111328, q 0.7426758, e 0, e -1, e -1, e -1, e 0, e -2, e 0, e -1
14.645557045936584, false, a -0.62060547, a 0.39013672, a 0.73876953, q 0.8417074, q 0.3206301, q 0.39013672, q 0.73876953, e 0, e -1, e 0, e -1, e 1, e 2, e -1, e -1
14.647431015968323, false, a -0.6245117, a 0.38964844, a 0.73535156, q 0.8416967, q 0.32062602, q 0.38964844, q 0.73535156, e 1, e 2, e -1, e -2, e 2, e 0, e 0, e -2
14.675904035568237, false, a -0.62060547, a 0.3876953, a 0.7416992, q 0.8416967, q 0.32062602, q 0.3876953, q 0.7416992, e -1, e -2, e 0, e 0, e 1, e -3, e -1, e -1
14.706330060958862, false, a -0.62109375, a 0.38720703, a 0.74316406, q 0.8416936, q 0.3205638, q 0.38720703, q 0.74316406, e 0, e 0, e -2, e -4, e 0, e 0, e 0, e -1
14.709128975868225, false, a -0.62109375, a 0.38623047, a 0.74609375, q 0.8416936, q 0.3205638, q 0.38623047, q 0.74609375, e 0, e 1, e 1, e -4, e -1, e 1, e -1, e -1
14.73600697517395, false, a -0.6225586, a 0.38867188, a 0.74658203, q 0.84171003, q 0.32050902, q 0.38867188, q 0.74658203, e -2, e -3, e -2, e -2, e -4, e -2, e 0, e 0
14.766057968139648, false, a -0.62353516, a 0.38916016, a 0.7480469, q 0.84171003, q 0.32050902, q 0.38916016, q 0.7480469, e -1, e 1, e -2, e -2, e -2, e -2, e 1, e -2
14.768383026123047, false, a -0.62060547, a 0.3876953, a 0.7373047, q 0.84171575, q 0.32045016, q 0.3876953, q 0.7373047, e 0, e -1, e 1, e -2, e 0, e 1, e -1, e 1
14.795768022537231, false, a -0.6201172, a 0.38623047, a 0.73828125, q 0.8416962, q 0.3204427, q 0.38623047, q 0.73828125, e 0, e -1, e 0, e 0, e 1, e -1, e 0, e 1
14.825613021850586, false, a -0.62109375, a 0.38916016, a 0.73583984, q 0.8416962, q 0.3204427, q 0.38916016, q 0.73583984, e 2, e -2, e -3, e -1, e -3, e -2, e 0, e 0
14.828060984611511, false, a -0.62060547, a 0.39013672, a 0.7416992, q 0.84171265, q 0.32038793, q 0.39013672, q 0.7416992, e 1, e 2, e -3, e -2, e 1, e -1, e -3, e -2
14.85571300983429, false, a -0.61865234, a 0.3857422, a 0.74316406, q 0.84171265, q 0.32038793, q 0.3857422, q 0.74316406, e -3, e 1, e -1, e -1, e 3, e 0, e -1, e 0
14.885773062705994, false, a -0.6196289, a 0.38916016, a 0.74560547, q 0.8417291, q 0.32033315, q 0.38916016, q 0.74560547, e -1, e -3, e 0, e -3, e -3, e 0, e 0, e 0
14.887804985046387, false, a -0.6201172, a 0.38427734, a 0.74121094, q 0.8417095, q 0.3203257, q 0.38427734, q 0.74121094, e 2, e -4, e -1, e -1, e -1, e -1, e 0, e -1
14.915560007095337, false, a -0.6220703, a 0.390625, a 0.7397461, q 0.8417095, q 0.3203257, q 0.390625, q 0.7397461, e -3, e -1, e -1, e -1, e 3, e -3, e 0, e 0
14.946017980575562, false, a -0.625, a 0.38720703, a 0.734375, q 0.8417152, q 0.32026684, q 0.38720703, q 0.734375, e -1, e -1, e -2, e 2, e 0, e -3, e -1, e -2
14.947955012321472, false, a -0.6230469, a 0.39208984, a 0.7373047, q 0.8417152, q 0.32026684, q 0.39208984, q 0.7373047, e 0, e -1, e 2, e 0, e 0, e -1, e -1, e -1
14.975980997085571, false, a -0.6225586, a 0.39160156, a 0.7426758, q 0.8417152, q 0.32026684, q 0.39160156, q 0.7426758, e 1, e -2, e 0, e -2, e 1, e 3, e -2, e 0
15.006149053573608, false, a -0.625, a 0.39013672, a 0.73535156, q 0.8417152, q 0.32026684, q 0.39013672, q 0.73535156, e -3, e -1, e -1, e -4, e 1, e -1, e -1, e 0
15.008790969848633, false, a -0.6274414, a 0.3857422, a 0.74121094, q 0.8417045, q 0.32026276, q 0.3857422, q 0.74121094, e 0, e -1, e -2, e 1, e 1, e 1, e 0, e -1
15.036792039871216, false, a -0.62402344, a 0.390625, a 0.7392578, q 0.84172094, q 0.32020798, q 0.390625, q 0.7392578, e 0, e 1, e -2, e -1, e 0, e -1, e -1, e -2
15.066202044487, false, a -0.6171875, a 0.39257812, a 0.7373047, q 0.84172094, q 0.32020798, q 0.39257812, q 0.7373047, e 1, e -1, e -1, e -4, e -1, e 0, e -1, e -2
15.069241046905518, false, a -0.6152344, a 0.38867188, a 0.74121094, q 0.8417014, q 0.32020053, q 0.38867188, q 0.74121094, e -1, e -1, e -1, e -4, e -2, e -1, e 0, e -2
15.096590995788574, false, a -0.6191406, a 0.3852539, a 0.7421875, q 0.84171784, q 0.32014576, q 0.3852539, q 0.7421875, e 0, e 0, e -1, e -3, e -1, e 0, e -2, e 1
15.126175045967102, false, a -0.6230469, a 0.3930664, a 0.74121094, q 0.84164625, q 0.3202028, q 0.3930664, q 0.74121094, e -1, e -2, e 0, e 0, e -2, e -4, e 1, e -2
15.1283700466156, false, a -0.61816406, a 0.39746094, a 0.74365234, q 0.84164625, q 0.3202028, q 0.39746094, q 0.74365234, e -1, e -2, e 0, e 0, e -1, e -1, e -1, e 0
15.156545996665955, false, a -0.6201172, a 0.38720703, a 0.7416992, q 0.84164625, q 0.3202028, q 0.38720703, q 0.7416992, e 2, e 0, e 1, e -1, e 2, e -1, e -2, e 1
15.185654997825623, false, a -0.6220703, a 0.38623047, a 0.7416992, q 0.8416323, q 0.32013646, q 0.38623047, q 0.7416992, e 0, e 0, e -3, e 2, e -4, e 2, e 0, e -2
15.188369035720825, false, a -0.6245117, a 0.39013672, a 0.7446289, q 0.8416323, q 0.32013646, q 0.39013672, q 0.7446289, e -2, e 0, e 1, e -1, e 3, e 0, e -1, e -1
15.216433048248291, false, a -0.62890625, a 0.3881836, a 0.75439453, q 0.84164876, q 0.32008168, q 0.3881836, q 0.75439453, e 0, e 1, e -2, e 1, e 4, e -2, e 0, e 0
15.24577796459198, false, a -0.61621094, a 0.37890625, a 0.75097656, q 0.8416652, q 0.3200269, q 0.37890625, q 0.75097656, e -2, e -1, e 0, e -3, e 0, e 1, e -2, e 0
15.248412013053894, false, a -0.6220703, a 0.3828125, a 0.7504883, q 0.84167993, q 0.31994823, q 0.3828125, q 0.7504883, e 1, e -3, e -1, e 2, e -3, e -1, e 0, e -1
15.276363015174866, false, a -0.61865234, a 0.390625, a 0.7338867, q 0.84161085, q 0.3201283, q 0.390625, q 0.7338867, e -1, e -2, e -1, e 0, e 2, e -1, e -1, e -1
15.306189060211182, false, a -0.62060547, a 0.39013672, a 0.73583984, q 0.84152985, q 0.32026598, q 0.39013672, q 0.73583984, e -1, e 1, e -2, e -2, e 0, e -1, e -2, e 1
15.308390974998474, false, a -0.62597656, a 0.39160156, a 0.7338867, q 0.84145886, q 0.3204453, q 0.39160156, q 0.7338867, e 0, e -2, e 1, e -4, e -1, e -2, e 1, e 0
15.336331963539124, false, a -0.62890625, a 0.390625, a 0.7363281, q 0.8414386, q 0.32049862, q 0.390625, q 0.7363281, e 0, e -1, e -2, e 1, e 0, e -1, e 0, e 0
15.365746021270752, false, a -0.6230469, a 0.3857422, a 0.7397461, q 0.84145504, q 0.32044384, q 0.3857422, q 0.7397461, e 1, e -2, e 0, e -1, e -2, e -1, e -1, e -2
15.368268966674805, false, a -0.62646484, a 0.38916016, a 0.7392578, q 0.8414443, q 0.32043976, q 0.38916016, q 0.7392578, e 0, e 1, e -2, e -2, e -2, e 0, e 0, e 0
15.397109031677246, false, a -0.6254883, a 0.39208984, a 0.73339844, q 0.8414068, q 0.32044876, q 0.39208984, q 0.73339844, e -1, e 0, e -1, e -2, e 2, e 1, e 1, e -2
15.425734996795654, false, a -0.625, a 0.38964844, a 0.7392578, q 0.8414068, q 0.32044876, q 0.38964844, q 0.7392578, e -5, e -1, e -1, e -1, e -4, e 1, e -1, e 1
15.428331017494202, false, a -0.6196289, a 0.38916016, a 0.73828125, q 0.84142464, q 0.32043228, q 0.38916016, q 0.73828125, e 4, e 1, e 0, e 2, e 2, e -3, e -3, e 0
15.45647406578064, false, a -0.61816406, a 0.38867188, a 0.73583984, q 0.8414412, q 0.32037756, q 0.38867188, q 0.73583984, e -1, e 0, e -2, e -3, e -3, e 0, e -1, e 0
15.485767006874084, false, a -0.61816406, a 0.39013672, a 0.74121094, q 0.8414412, q 0.32037756, q 0.39013672, q 0.74121094, e -2, e 0, e -2, e -4, e -6, e -2, e -1, e 0
15.488409996032715, false, a -0.61621094, a 0.3935547, a 0.7470703, q 0.8414412, q 0.32037756, q 0.3935547, q 0.7470703, e -2, e -4, e 0, e -2, e -4, e 0, e -1, e 0
15.516451001167297, false, a -0.6254883, a 0.38476562, a 0.74902344, q 0.84145766, q 0.32032278, q 0.38476562, q 0.74902344, e -3, e -2, e -2, e -3, e 0, e -1, e -1, e -1
15.546097040176392, false, a -0.625, a 0.3828125, a 0.73828125, q 0.84145445, q 0.32026052, q 0.3828125, q 0.73828125, e 1, e -1, e -2, e 0, e -2, e -3, e -1, e 0
15.548320055007935, false, a -0.62646484, a 0.38134766, a 0.7416992, q 0.84145445, q 0.32026052, q 0.38134766, q 0.7416992, e -1, e 0, e 0, e 0, e 2, e -3, e -1, e -1
15.576349020004272, false, a -0.62597656, a 0.3857422, a 0.7368164, q 0.8414437, q 0.32025644, q 0.3857422, q 0.7368164, e 0, e 0, e -2, e -1, e 3, e 2, e 0, e 0
15.605906009674072, false, a -0.6269531, a 0.3876953, a 0.7314453, q 0.8413886, q 0.32025868, q 0.3876953, q 0.7314453, e -1, e 1, e 1, e 0, e 1, e -3, e 0, e 0
15.608224987983704, false, a -0.6230469, a 0.38671875, a 0.7363281, q 0.8413183, q 0.3201331, q 0.38671875, q 0.7363281, e 1, e -4, e -1, e 2, e 3, e 0, e -1, e -1
15.63665497303009, false, a -0.6308594, a 0.3857422, a 0.7319336, q 0.8412597, q 0.31982884, q 0.3857422, q 0.7319336, e 0, e -1, e 0, e -2, e 1, e -1, e 1, e -3
15.666419982910156, false, a -0.63378906, a 0.38720703, a 0.7373047, q 0.8411174, q 0.31933287, q 0.38720703, q 0.7373047, e 1, e -1, e -1, e 0, e 1, e 1, e -1, e -1
15.668995022773743, false, a -0.62060547, a 0.3935547, a 0.7109375, q 0.84083503, q 0.3190974, q 0.3935547, q 0.7109375, e 0, e 0, e 0, e 6, e -4, e -1, e -1, e 0
15.696552991867065, false, a -0.6308594, a 0.42626953, a 0.71435547, q 0.8402729, q 0.31927562, q 0.42626953, q 0.71435547, e 2, e -1, e 0, e -4, e -2, e 2, e 0, e -1
15.725749969482422, false, a -0.61572266, a 0.42285156, a 0.734375, q 0.84042054, q 0.31782043, q 0.42285156, q 0.734375, e -5, e -2, e -3, e -9, e -3, e -3, e -1, e -1
15.728285074234009, false, a -0.61035156, a 0.37841797, a 0.77490234, q 0.8411411, q 0.31494728, q 0.37841797, q 0.77490234, e -1, e -1, e 0, e -4, e 2, e 3, e -1, e 0
15.756585001945496, false, a -0.6098633, a 0.34521484, a 0.7836914, q 0.8417605, q 0.312265, q 0.34521484, q 0.7836914, e -2, e 1, e -1, e 4, e -1, e -3, e 0, e -1
15.785768985748291, false, a -0.6035156, a 0.35058594, a 0.77685547, q 0.842073, q 0.3104366, q 0.35058594, q 0.77685547, e 1, e -1, e 0, e 0, e -1, e -2, e -1, e -1
15.788426041603088, false, a -0.6044922, a 0.35546875, a 0.7680664, q 0.84223354, q 0.30914652, q 0.35546875, q 0.7680664, e -1, e -1, e -1, e -4, e 1, e -2, e -1, e 1
15.81636905670166, false, a -0.60595703, a 0.36621094, a 0.7636719, q 0.8422491, q 0.30817565, q 0.36621094, q 0.7636719, e 1, e -1, e 0, e -2, e -2, e -2, e 0, e -2
15.845785975456238, false, a -0.60253906, a 0.37939453, a 0.75878906, q 0.842062, q 0.30780795, q 0.37939453, q 0.75878906, e -1, e 0, e -1, e -3, e -4, e -2, e -3, e 1
15.848286032676697, false, a -0.61035156, a 0.3984375, a 0.7709961, q 0.84212446, q 0.307015, q 0.3984375, q 0.7709961, e -2, e -2, e -3, e -2, e -3, e -2, e 0, e -3
15.877155065536499, false, a -0.6254883, a 0.39794922, a 0.7919922, q 0.84243774, q 0.30579722, q 0.39794922, q 0.7919922, e -3, e 0, e 0, e -1, e 1, e 3, e -1, e 0
15.907633066177368, false, a -0.63964844, a 0.3803711, a 0.80126953, q 0.84273964, q 0.30457526, q 0.3803711, q 0.80126953, e -3, e -2, e 0, e -1, e -3, e 0, e 0, e -1
15.910348057746887, false, a -0.61572266, a 0.36621094, a 0.8125, q 0.84329236, q 0.303722, q 0.36621094, q 0.8125, e -2, e 2, e 1, e -3, e -3, e -2, e -1, e -1
15.936395049095154, false, a -0.61816406, a 0.34033203, a 0.82177734, q 0.84365636, q 0.30420947, q 0.34033203, q 0.82177734, e -7, e -2, e -3, e 6, e -1, e 1, e -2, e -2
15.96577000617981, false, a -0.61376953, a 0.36328125, a 0.79589844, q 0.8435725, q 0.30768028, q 0.36328125, q 0.79589844, e -9, e 1, e 1, e 13, e -1, e -5, e -21, e -3
15.968307971954346, false, a -0.65527344, a 0.45166016, a 0.74316406, q 0.8428253, q 0.31349584, q 0.45166016, q 0.74316406, e -6, e -2, e -2, e 14, e 11, e -4, e 1, e 1
15.996868968009949, false, a -0.58935547, a 0.515625, a 0.7270508, q 0.84215784, q 0.32244673, q 0.515625, q 0.7270508, e 12, e -1, e 1, e -16, e 5, e -1, e -1, e -5
16.02578103542328, false, a -0.6015625, a 0.63378906, a 0.7285156, q 0.8426054, q 0.3270322, q 0.63378906, q 0.7285156, e 53, e 4, e -4, e 32, e 17, e 2, e 11, e 8
16.055837988853455, false, a -0.4975586, a 0.61083984, a 0.71875, q 0.8450443, q 0.32788575, q 0.61083984, q 0.71875, e -7, e 0, e -1, e -8, e -9, e 0, e 4, e 2
